location,total_sqft,bath,price,rooms
Srinagar,1080,3.0,149.0,3.0
KHB Colony Extension,900,2.0,65.0,3.0
Devasthanagalu,946,2.0,45.0,2.0
Laggere,1500,1.0,60.0,1.0
Sarjapur  Road,1711,3.0,110.0,3.0
Attur Layout,1200,3.0,160.0,4.0
Chandapura,950,2.0,25.65,2.0
Kudlu Gate,1656,3.0,80.0,3.0
Uttarahalli,1075,2.0,46.76,2.0
Harlur,1752.12,3.0,133.0,3.0
Hebbal,6000,8.0,220.0,8.0
Kaverappa Layout,1540,3.0,85.0,3.0
6th Phase JP Nagar,600,4.0,125.0,4.0
LB Shastri Nagar,665,1.0,32.0,1.0
Sector 2 HSR Layout,1665,3.0,110.0,3.0
Electronics City Phase 1,1145,2.0,54.0,2.0
Whitefield,1185,2.0,41.0,2.0
2nd Phase JP Nagar,1200,3.0,190.0,3.0
Marathahalli,1693,3.0,125.0,3.0
Dollars Layout,2456,3.0,220.0,3.0
Rajaji Nagar,2559,3.0,403.0,3.0
Uttarahalli,1155,2.0,40.6,2.0
Divya Unnathi Layout,1610,2.0,64.4,3.0
Whitefield,1200,3.0,56.58,3.0
Anjana Nagar,1530,2.0,185.0,2.0
EPIP Zone,1709,3.0,80.0,3.0
Amruthahalli,600,4.0,60.0,4.0
Brookefield,2700,8.0,290.0,8.0
Subramanya Nagar,840,1.0,150.0,1.0
Gottigere,1400,2.0,50.0,3.0
KR Puram,1200,2.0,42.0,2.0
Janatha Colony,1439,3.0,57.23,3.0
Kasavanhalli,1375,2.0,72.0,2.0
BTM 2nd Stage,2990,5.0,416.0,5.0
Vijayanagar,1200,2.0,75.0,3.0
Yelahanka,1315,2.0,75.0,2.0
Dommasandra,1500,2.0,40.0,2.0
Yelahanka,3600,6.0,200.0,6.0
Vijayanagar,1178,2.0,82.0,2.0
Bannerghatta Road,1430,3.0,59.0,3.0
Mahadevpura,1400,2.0,65.8,3.0
Thanisandra,1093,2.0,72.0,2.0
Horamavu Banaswadi,1200,2.0,45.0,2.0
Magadi Road,5000,6.0,360.0,5.0
1st Block Jayanagar,1200,2.0,130.0,3.0
Whitefield,2210,3.0,156.0,3.0
Uttarahalli,1150,2.0,70.0,2.0
Silk Board,1435,2.0,60.0,3.0
Mathikere,600,3.0,100.0,4.0
Whitefield,1173,2.0,78.2,2.0
Thanisandra,1140,2.0,39.0,2.0
Jakkur Plantation,1717,3.0,120.0,3.0
Mallasandra,1325,2.0,65.0,2.0
Hoodi,1370,3.0,67.0,3.0
Electronics City Phase 1,1025,2.0,90.0,2.0
Doddakammanahalli,1409,2.0,62.0,3.0
Bellandur,1200,2.0,52.0,2.0
Thanisandra,1200,2.0,53.5,2.0
Whitefield,1740,4.0,130.0,3.0
Hennur Road,1232,2.0,88.0,2.0
Chandapura,1200,2.0,36.0,2.0
Whitefield,5924,4.0,625.0,4.0
Veersandra,1250,2.0,50.0,2.0
Munivenkatppa Layout,1475,2.0,171.0,2.0
Bommanahalli,2100,4.0,85.0,4.0
5th Phase JP Nagar,552,1.0,23.5,1.0
Uttarahalli,1065,2.0,42.59,3.0
Hennur,1000,3.0,130.0,3.0
Lakshmipura,1225,2.0,65.0,2.0
Harsha Layout,650,1.0,16.0,1.0
Padmanabhanagar,1067,2.0,52.0,2.0
Sarjapur,1364,2.0,56.0,3.0
Tata Nagar,1750,3.0,75.0,3.0
Bannerghatta Road,1240,2.0,71.0,2.0
Hulimavu,1200,2.0,75.0,2.0
Kaggadasapura,1540,3.0,75.0,3.0
Sathya Layout,1504,2.0,102.0,3.0
New Thippasandra,1116,2.0,49.8,2.0
Hennur Road,2365,4.0,175.0,3.0
Sarjapura - Attibele Road,1308,2.0,37.0,2.0
Vijayanagar,864,2.0,45.0,2.0
Vidyaranyapura,1200,5.0,139.0,5.0
Hoskote,1069,2.0,38.0,3.0
Hebbal,1333,2.0,100.0,2.0
Chennammana Kere,1800,4.0,145.0,4.0
Devanahalli,6136,4.0,550.0,4.0
Thanisandra,1698,3.0,107.0,3.0
JP Nagar,1275,2.0,43.6,3.0
Raja Rajeshwari Nagar,1060,2.0,48.0,2.0
Hennur,1160,2.0,49.0,2.0
Sarjapur  Road,1484,2.0,65.0,3.0
Hosa Road,675,3.0,70.0,3.0
BEML Layout,1200,5.0,325.0,3.0
Hennur Road,1310,2.0,66.0,2.0
Vijayanagar,1806,6.0,370.0,6.0
Shanti Nagar,3000,4.0,240.0,4.0
Varthur,2145,3.0,165.0,3.0
Marathahalli,1693,3.0,125.0,3.0
Jigani,1230,3.0,60.0,3.0
Devanahalli,1200,3.0,145.0,3.0
Bommasandra Industrial Area,1310,2.0,37.83,3.0
Tigalarpalya,1150,2.0,60.0,2.0
Munnekollal,1385,2.0,66.5,3.0
Tumkur Road,1066,2.0,52.5,2.0
Thanisandra,2293,3.0,80.26,3.0
Tindlu,720,3.0,81.0,3.0
2nd Block Bel Layout,1625,3.0,92.0,3.0
Vittasandra,1246,2.0,67.4,2.0
Vijayanagar,2100,6.0,252.0,4.0
sarjapura main road,2400,4.0,250.0,4.0
Raja Rajeshwari Nagar,3900,6.0,195.0,6.0
7th Phase JP Nagar,1000,2.0,70.65,2.0
Nagavarapalya,907,2.0,38.0,2.0
Ulsoor,3500,4.0,138.0,4.0
Varthur,1395,2.0,79.0,3.0
Kumbena Agrahara,1180,2.0,50.0,2.0
Banaswadi,1903,6.0,140.0,5.0
Electronic City,1175,2.0,47.0,2.0
Coconut Grove Layout,1272,2.0,51.5,2.0
Hiremath Layout,1490,2.0,92.0,3.0
Yeshwanthpur,1144,2.0,67.0,2.0
Anekal - Hosur Road,2400,5.0,140.0,4.0
Hormavu,1143,2.0,53.0,2.0
Karuna Nagar,2500,3.0,190.0,3.0
Whitefield,1216,2.0,75.0,2.0
Nallurhalli,1044,2.0,60.0,2.0
Prithvi Layout,1352,3.0,93.0,2.0
Hennur Road,1552,3.0,75.0,3.0
Bellandur,1785,3.0,120.0,3.0
Pai Layout,810,2.0,34.5,2.0
Banashankari Stage V,1650,3.0,51.98,3.0
Akshayanagara East,1595,3.0,70.39,3.0
Whitefield,1060,2.0,35.0,2.0
Babusapalaya,1410,2.0,65.0,3.0
Nagarbhavi,1523,2.0,56.0,3.0
Kanakpura Road,1591,3.0,122.0,3.0
Ashwath Nagar,1640,3.0,84.0,3.0
Yelahanka New Town,450,1.0,16.0,1.0
Bannerghatta Road,1305,2.0,60.0,3.0
Yelahanka,1590,3.0,54.0,3.0
Kaggadasapura,1240,2.0,45.0,2.0
MCECHS  layout,1200,2.0,54.0,2.0
Dodda Nekkundi,1100,2.0,41.16,2.0
Koramangala,1180,2.0,128.0,2.0
Sarjapur  Road,1115,2.0,50.0,2.0
Bisuvanahalli,845,2.0,33.0,2.0
4th Block Jayanagar,1567.2,2.0,190.0,3.0
Channasandra,1310,2.0,45.0,3.0
Yelahanka,26136,1.0,150.0,1.0
Jyothi Nagar,959,2.0,42.5,2.0
8th Phase JP Nagar,1200,4.0,140.0,4.0
Kambipura,883,2.0,37.0,2.0
Rachenahalli,1050,2.0,55.5,2.0
Yelahanka,1390,2.0,70.21,2.0
Hulimavu,132Sq. Yards,2.0,46.0,2.0
Kenchenahalli,1280,2.0,69.0,3.0
Lingarajapuram,1280,5.0,150.0,7.0
Yelahanka,1614,3.0,95.0,3.0
Kasturi Nagar,1000,2.0,58.0,2.0
Marathahalli,1196,2.0,57.9,2.0
Sarjapur  Road,1220,3.0,57.0,3.0
Ambalipura,950,2.0,31.95,2.0
Doddabommasandra,2400,8.0,325.0,9.0
Akshaya Vana,1141,2.0,55.0,2.0
5th Phase JP Nagar,1200,2.0,51.0,2.0
Kasavanhalli,1380,2.0,55.0,3.0
Doddathoguru,855,2.0,32.0,2.0
Chandapura,645,1.0,16.45,1.0
Chandapura,922,2.0,36.0,2.0
Nagappa Reddy Layout,1200,2.0,43.2,2.0
Nagadevanahalli,1240,2.0,65.0,3.0
7th Phase JP Nagar,1070,2.0,42.0,2.0
Rajiv Gandhi Nagar,1293,2.0,75.0,2.0
R.T. Nagar,1380,2.0,50.0,3.0
Yelahanka New Town,1599,3.0,80.0,3.0
Nehru Nagar,967,2.0,41.1,2.0
Silver Springs Layout,1885,3.0,90.0,3.0
1st Block Koramangala,860,2.0,65.5,2.0
Yelahanka,1075,1.0,19.5,1.0
Sarjapur  Road,1050,2.0,63.5,2.0
Marathahalli,1595,3.0,88.0,3.0
Sarjapur  Road,1350,2.0,102.0,2.0
Hebbal,1204,2.0,45.0,2.0
Sarjapur  Road,2990,4.0,240.0,4.0
Sarjapur  Road,1035,2.0,49.0,2.0
ITPL,1000,2.0,29.95,2.0
Sarjapur  Road,1457,3.0,85.0,3.0
Haralur Road,1194,2.0,47.0,2.0
Bannerghatta,1100,2.0,66.0,2.0
Whitefield,1655,3.0,120.0,3.0
Kanakpura Road,1691.2,3.0,115.0,3.0
Ramagondanahalli,1215,2.0,46.1,2.0
Kanakpura Road,1010 - 1300,2.0,50.125,2.0
Hoodi,1639,3.0,129.0,3.0
Sarjapur  Road,1685,3.0,135.0,3.0
Kaveri Nagar,1008,4.0,180.0,5.0
Hormavu,1100,2.0,38.0,2.0
Marathahalli,2122,3.0,125.0,3.0
Vasanthapura,1050,2.0,47.0,2.0
Kengeri,1230,2.0,45.0,2.0
5th Phase JP Nagar,1240,3.0,60.0,3.0
Electronic City Phase II,1252,2.0,65.0,3.0
Canara Bank Colony,1374,2.0,88.0,3.0
8th Phase JP Nagar,500,1.0,30.0,1.0
Arekere,1200,8.0,225.0,8.0
Hebbal,1355,3.0,83.87,3.0
Banashankari,1040,2.0,45.0,2.0
Sarjapur  Road,1350,2.0,68.0,2.0
Whitefield,4003,6.0,300.0,4.0
Hennur,2400,3.0,135.0,3.0
Haralur Road,1560,3.0,90.0,3.0
Anandapura,1151,2.0,43.16,2.0
Uttarahalli,1360,2.0,47.59,3.0
Crimson Layout,1250,2.0,60.0,2.0
Chandapura,1110,2.0,29.97,3.0
Hennur Road,1015,2.0,50.0,2.0
Kadugodi,1351,2.0,78.0,3.0
Yelahanka New Town,960,2.0,50.0,2.0
Virat Nagar,1110,2.0,52.0,2.0
R.T. Nagar,1680,3.0,72.0,3.0
Arekere,2400,3.0,180.0,3.0
Yemlur,11000,5.0,2000.0,4.0
Ramamurthy Nagar Extension,1350,3.0,48.6,3.0
Horamavu Banaswadi,1254,2.0,47.0,2.0
Haralur Road,1255,3.0,115.0,3.0
CV Raman Nagar,1051,2.0,61.0,2.0
"2nd phase jp nagar, jp nagar",1200,3.0,205.0,3.0
Uttarahalli,1099,2.0,65.0,2.0
Hebbal,2650,4.0,199.0,3.0
Mathikere Extension,2000,2.0,160.0,4.0
Yeshwanthpur,1541,2.0,130.0,2.0
Sarjapur  Road,1200,3.0,70.0,3.0
Whitefield,1125,2.0,45.0,2.0
Vittasandra,1650,3.0,85.0,3.0
Ashwini layout,834,1.0,62.0,1.0
Gollarapalya Hosahalli,1320,3.0,60.0,3.0
Malleshpalya,1200,3.0,149.0,3.0
Indra Nagar,1000,7.0,160.0,8.0
Mysore Road,1500,3.0,74.0,3.0
Whitefield,4400,5.0,500.0,4.0
Kanakpura Road,2Acres,1.0,125.0,1.0
Moodalapalya,600,1.0,52.0,1.0
Whitefield,1180,2.0,70.0,2.0
Kadugodi,1010,2.0,50.0,2.0
Channasandra,1070,2.0,38.0,2.0
Choodasandra,1580,3.0,105.0,3.0
BEML Layout 5th Stage,1200,5.0,325.0,4.0
Green Glen Layout,2000,3.0,165.0,3.0
Iblur Village,1920,3.0,130.0,3.0
Sanjay nagar,1200,2.0,76.0,3.0
Kalena Agrahara,1040,2.0,45.0,2.0
Hulimavu,1430,2.0,90.0,3.0
Uttarahalli,1215,2.0,52.85,3.0
Domlur,650,1.0,70.0,1.0
Thanisandra,1564,3.0,105.0,3.0
Manonarayanapalya,800,2.0,52.0,3.0
Hormavu,750,2.0,58.0,2.0
Kasavanhalli,1200,2.0,60.0,2.0
Raja Rajeshwari Nagar,1128,2.0,48.79,2.0
Begur Road,1200,2.0,44.4,2.0
Cholanayakanahalli,2000,4.0,135.0,4.0
Jakkur Plantation,2750,3.0,260.0,3.0
4th T block Jayanagar,2400,4.0,480.0,4.0
Yelahanka,1650,3.0,105.0,3.0
1st Block Jayanagar,1235,2.0,148.0,2.0
Yelahanka,1200,2.0,55.0,2.0
M V Extenstion,900,5.0,100.0,6.0
Kengeri Satellite Town,985,2.0,42.0,2.0
Ramagondanahalli,1475,2.0,63.0,3.0
Hebbal,3450,5.0,348.0,3.0
Sarjapur  Road,1157,2.0,53.99,3.0
Canara Bank Colony,900,2.0,35.0,2.0
Gottigere,2500,3.0,120.0,4.0
GM Palaya,1030,2.0,60.0,2.0
Kamdhenu Nagar,1000,2.0,46.0,2.0
Sarjapur  Road,3800,3.0,325.0,4.0
Kasavanhalli,4260,4.0,333.0,4.0
Brookefield,1950,6.0,175.0,5.0
Kudlu,1570,2.0,65.94,3.0
Kanakapura,1283,2.0,68.0,2.0
Electronic City Phase II,875,2.0,40.0,3.0
Vinayaka Nagar,1200,2.0,52.0,2.0
HAL 2nd Stage,2700,3.0,500.0,3.0
Konanakunte,2400,2.0,180.0,3.0
Kathriguppe,1250,2.0,68.75,3.0
Old Madras Road,3630,6.0,196.0,4.0
Yelahanka,990,2.0,37.62,2.0
Panathur,1199,2.0,85.0,2.0
Brindavan Nagar,1280,2.0,90.0,2.0
1st Block Jayanagar,2750,4.0,413.0,4.0
Reliaable Tranquil Layout,1190,2.0,55.0,2.0
Yelachenahalli,1100,2.0,60.0,2.0
RMV,2075,3.0,175.0,3.0
Harlur,1133,2.0,55.0,2.0
Somasundara Palya,2400,3.0,140.0,4.0
Whitefield,1280,2.0,69.0,2.0
Horamavu Agara,1250,3.0,65.0,3.0
Begur Road,1565,2.0,49.3,3.0
Pattanagere,1900,3.0,65.0,3.0
Munnekollal,1080,2.0,45.0,2.0
Battarahalli,600,1.0,47.0,1.0
Himagiri Meadows,1240,4.0,180.0,3.0
HRBR Layout,1335,2.0,87.0,3.0
Vittasandra,1246,2.0,67.3,2.0
JP Nagar,3103 - 3890,,237.5,3.0
Sarjapur  Road,1385,3.0,55.0,3.0
Govindpura,1578,3.0,73.9,3.0
HSR Layout,1140,2.0,46.0,2.0
Sarjapur  Road,1700,3.0,79.9,3.0
Ganganahalli,1050,4.0,90.0,4.0
Vidyaranyapura,1120,2.0,70.0,2.0
Electronic City,435,1.0,22.0,1.0
Magadi Road,1116,2.0,51.89,2.0
Old Madras Road,1480,3.0,95.0,3.0
Hormavu,1000,2.0,50.0,2.0
HSR Layout,1145,2.0,46.0,2.0
Bommasandra,800,1.0,32.0,2.0
Thanisandra,1265,2.0,83.0,2.0
Devanahalli,1450 - 1950,3.0,88.2,3.0
Narayanappa Garden,1475,2.0,70.0,2.0
BTM 2nd Stage,1265,2.0,55.0,2.0
Anandapura,1200,2.0,58.0,2.0
1st Phase JP Nagar,2180,3.0,210.0,3.0
Brookefield,1080,2.0,50.0,2.0
Whitefield,2023,4.0,130.0,3.0
Hanumantha Nagar,2400,2.0,125.0,2.0
Kadubeesanahalli,1545,2.0,66.0,3.0
Kalena Agrahara,1804,3.0,166.0,3.0
3rd Block Hrbr Layout,1200,2.0,200.0,2.0
6th Phase JP Nagar,1350,2.0,58.0,3.0
Hoodi,1108,2.0,74.23,2.0
Marathahalli,1730,3.0,115.0,3.0
RWF West Colony,1427,2.0,70.0,3.0
Yelahanka,935,2.0,35.53,2.0
Sarjapura - Attibele Road,1073,2.0,31.77,2.0
Ananth Nagar,960,2.0,37.0,2.0
Thigalarapalya,2215,4.0,150.0,3.0
Electronic City Phase II,1125,2.0,32.49,2.0
Brookefield,1230,2.0,55.0,2.0
Mahadevpura,1438,2.0,89.0,2.0
7th Phase JP Nagar,1080,2.0,75.0,2.0
Hebbal Kempapura,1200,3.0,125.0,3.0
Marathahalli,1200,1.0,103.0,2.0
Uttarahalli,1590,3.0,58.0,3.0
Seetharampalya,1350,3.0,68.0,3.0
Raja Rajeshwari Nagar,1400,2.0,48.0,3.0
Kaggadasapura,1560,2.0,72.0,3.0
Mallasandra,1810,3.0,57.0,4.0
Kanaka Nagar,2274.24,4.0,160.0,3.0
Sonnenahalli,1484,3.0,74.18,3.0
Indira Nagar,1650,3.0,220.0,3.0
Stage-4 Bommanahalli,1455,2.0,55.0,3.0
Thanisandra,2280,4.0,184.0,3.0
Rest House Road,4900,5.0,980.0,5.0
Frazer Town,2079,3.0,220.0,3.0
Bharathi Nagar,1351,2.0,74.0,2.0
Kanakpura Road,1223,2.0,42.81,3.0
KR Puram,1430,2.0,61.0,3.0
Whitefield,3589,5.0,400.0,4.0
Electronic City Phase II,1310,2.0,37.83,3.0
Channasandra,1800,4.0,300.0,4.0
Giri Nagar,1120,4.0,175.0,4.0
Sarjapur  Road,984,2.0,55.0,2.0
Jalahalli,1770,3.0,100.0,3.0
Immadihalli,900,3.0,105.0,2.0
Ramamurthy Nagar,1350,5.0,120.0,5.0
Bhoganhalli,1447,2.0,75.97,2.0
Margondanahalli,1140,2.0,60.0,2.0
Bommanahalli,1170,2.0,34.0,2.0
Poorna Pragna Layout,1160,2.0,46.39,2.0
Kanakpura Road,1296,2.0,89.0,2.0
Kempapura,1570,3.0,80.0,3.0
Nagappa Reddy Layout,1495,2.0,65.0,3.0
Hoodi,1530,2.0,67.0,3.0
Rajaji Nagar,900,4.0,140.0,5.0
Gunjur,1800,3.0,70.0,3.0
Bellandur,1088,2.0,48.0,2.0
Hosa Road,1533,3.0,98.18,3.0
Rachenahalli,1100,2.0,68.0,2.0
Thubarahalli,1540,3.0,90.0,3.0
Hebbal,1244,3.0,48.0,2.0
Hosa Road,1040,2.0,68.59,2.0
Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,1034,6.0,101.0,6.0
Begur Road,1260,2.0,39.69,2.0
Uttarahalli,1180,2.0,41.3,2.0
Thigalarapalya,1245,2.0,100.0,2.0
Dollars Colony,1350,3.0,75.0,3.0
KUDLU MAIN ROAD,1464,3.0,56.0,3.0
Alur,470,2.0,10.0,1.0
Vijayanagar,920,2.0,60.0,2.0
Vijay Nagar,2300,7.0,160.0,6.0
Sarjapur,1124,2.0,30.35,2.0
Yelahanka New Town,2095,3.0,109.0,4.0
Begur Road,1100,2.0,71.42,2.0
Vijayanagar,1019,2.0,58.0,2.0
Harlur,1756,3.0,128.0,3.0
Bommasandra,1280,3.0,50.0,3.0
Kenchenahalli,1200,3.0,125.0,4.0
Indira Nagar,1700,3.0,150.0,3.0
Whitefield,2134,4.0,118.0,3.0
Hosa Road,1369.1,2.0,98.0,2.0
Subramanyapura,600,3.0,69.0,3.0
Hennur Bande,1313,4.0,150.0,3.0
Carmelaram,2515,4.0,155.0,3.0
Thigalarapalya,2215,4.0,154.0,3.0
Basapura,1440,3.0,72.0,3.0
Hennur Road,1186,2.0,55.33,3.0
Uttarahalli,1350,2.0,47.24,3.0
Hebbal,1800,3.0,140.0,3.0
Kudlu,1600,3.0,79.0,3.0
GM Palaya,1000,2.0,35.0,2.0
Cunningham Road,2275,3.0,285.0,3.0
Banashankari Stage III,1305,2.0,59.0,3.0
Binny Pete,1740,3.0,150.0,3.0
Malleshwaram,900,2.0,90.0,2.0
Benson Town,1567,3.0,140.0,2.0
Kambipura,1082,2.0,45.5,3.0
Nagarbhavi,1050,2.0,80.0,2.0
Atmananda Colony,1200,2.0,56.0,2.0
Begur,3500,4.0,185.0,3.0
Dasarahalli,1220,2.0,52.0,2.0
Binny Pete,1970,3.0,164.0,3.0
CMH Road,2665,3.0,350.0,3.0
Kanakapura,2130,4.0,120.0,4.0
Harlur,1749,3.0,120.0,3.0
Subramanyapura,1260,2.0,108.0,2.0
Doddaballapur,1100Sq. Meter,2.0,48.0,3.0
6th Phase JP Nagar,1170,2.0,120.0,2.0
Ankappa Layout,1670,3.0,75.0,3.0
Hennur Road,2264,3.0,168.0,3.0
Byadarahalli,3500,5.0,450.0,4.0
Begur,1100,2.0,55.0,2.0
Chandapura,674,1.0,19.9,2.0
Koramangala,1320,2.0,160.0,2.0
Vishveshwarya Layout,600,4.0,85.0,4.0
Electronics City Phase 1,1125,2.0,65.0,2.0
Nagavara,1125,2.0,44.5,2.0
Baba Nagar,700,2.0,29.0,2.0
BTM Layout,1300,2.0,75.0,3.0
JP Nagar,1600,3.0,83.0,3.0
Magadi Road,1052,2.0,60.0,3.0
Neelasandra,1140,3.0,145.0,4.0
 Devarachikkanahalli,1130,2.0,36.0,2.0
Yediyur,1140,3.0,225.0,4.0
BTM 2nd Stage,2200,3.0,220.0,3.0
Electronic City,1500,2.0,63.0,3.0
Old Madras Road,1350,3.0,47.25,3.0
Gottigere,1230,2.0,52.0,3.0
Haralur Road,1520,2.0,85.0,3.0
Kanakpura Road,525,1.0,26.25,1.0
Hosa Road,1040,2.0,61.0,2.0
Upadhyaya Layout,1300,2.0,67.0,3.0
Old Airport Road,2690,4.0,201.0,4.0
Domlur,780,1.0,70.0,1.0
Panathur,1140,2.0,51.2,2.0
Chandapura,1225,3.0,33.08,3.0
Nagavarapalya,646,1.0,25.84,1.0
Cox Town,1600,3.0,150.0,3.0
Kadugodi,1890,4.0,125.0,3.0
Kadugodi,1050,2.0,34.0,2.0
Ittamadu,1200,4.0,100.0,6.0
Whitefield,1458,2.0,62.0,3.0
Naganathapura,1200,6.0,86.0,5.0
Green Glen Layout,1970,3.0,160.0,3.0
Whitefield,1808,4.0,80.0,3.0
Balagere,1007,2.0,67.0,2.0
Doddathoguru,1105,2.0,50.0,2.0
Lakshminarayana Pura,1700,3.0,150.0,3.0
Raja Rajeshwari Nagar,1170,2.0,50.0,2.0
Chandapura,1080,2.0,45.0,2.0
Kaggalipura,1150,2.0,62.0,3.0
Ramamurthy Nagar,1200,2.0,57.9,2.0
Jakkuru Layout,1200,2.0,54.0,2.0
Kudlu Gate,1656,3.0,75.0,3.0
bsk 6th stage 2ad block near sri conversation hall,600,4.0,87.0,4.0
KR Puram,1040,2.0,50.0,2.0
Hosur Road,1085,2.0,33.7,2.0
Virat Nagar,1215,2.0,49.75,3.0
NRI Layout,2150,4.0,115.0,4.0
Hoodi,1100,4.0,120.0,4.0
Panathur,1210,2.0,77.0,2.0
Kallumantapa,1050,2.0,55.0,2.0
"Annapoorneshwari Layout, JP nagar 7th phase",600,3.0,70.0,3.0
Iblur Village,1920,3.0,150.0,3.0
Uttarahalli,1250,2.0,50.0,3.0
Mysore Road,947.55,2.0,80.0,2.0
Malleshpalya,1421,2.0,90.0,2.0
Mudalpalaya,1050,4.0,155.0,6.0
Old Madras Road,1425,2.0,74.31,3.0
Budigere,1162,2.0,58.0,2.0
Whitefield,905,1.0,60.0,1.0
Sarjapur  Road,914,2.0,32.0,2.0
elachenahalli,1258,2.0,58.0,2.0
CV Raman Nagar,1100,4.0,220.0,4.0
Hormavu,3500,4.0,289.0,4.0
Poorna Pragna Layout,2400,6.0,450.0,7.0
Ramagondanahalli,4200,4.0,800.0,4.0
Whitefield,1537,2.0,70.0,3.0
Chikkalasandra,1230,2.0,53.51,3.0
B K Nagar,2400,5.0,300.0,6.0
Malleshwaram,2250,3.0,200.0,3.0
Hosur Road,2000,4.0,69.0,4.0
Vivek Nagar,3000,4.0,130.0,8.0
Kumaraswami Layout,2600,4.0,325.0,4.0
Indira Nagar,3200,3.0,250.0,4.0
Anjanapura,950,2.0,32.0,2.0
Marathahalli,4000,4.0,200.0,4.0
Yelahanka,1282,2.0,48.72,3.0
Banashankari Stage III,1304,2.0,111.0,2.0
7th Phase JP Nagar,2100,3.0,200.0,3.0
Jakkur,1220,2.0,49.0,3.0
Budigere,1636,3.0,85.0,3.0
7th Phase JP Nagar,1415,3.0,65.0,3.0
Bommenahalli,15Acres,3.0,217.0,3.0
Green Glen Layout,1728,3.0,125.0,3.0
7th Phase JP Nagar,1680,3.0,125.0,3.0
Venkatapura,1235,2.0,140.0,2.0
Yelachenahalli,900,2.0,115.0,4.0
Yelahanka,3990,4.0,260.0,4.0
Kasavanhalli,1495,2.0,83.0,2.0
Hennur Road,1500,5.0,175.0,5.0
Yeshwanthpur,2501,3.0,138.0,3.0
Kanakpura Road,381,1.0,28.0,1.0
Gopalapura,3301.8,5.0,570.0,4.0
Hennur Road,2002,3.0,120.0,3.0
Meenakunte,3200,3.0,260.0,3.0
Banjara Layout,1200,2.0,70.0,2.0
Sarjapur  Road,1500,3.0,235.0,4.0
Bommasandra,1942,3.0,90.0,3.0
Electronics City Phase 1,1450 - 1595,,60.75,3.0
Thyagaraja Nagar,660,1.0,95.0,1.0
Banashankari Stage III,1200,6.0,170.0,4.0
Basavanna Nagar,1450,3.0,90.0,3.0
Electronic City,1039,2.0,50.0,2.0
Old Madras Road,1210,2.0,80.0,2.0
Attibele,995,1.0,24.88,2.0
Yelahanka,1620,3.0,90.0,3.0
Choodasandra,3204,4.0,395.0,3.0
Hebbal Kempapura,3408,3.0,260.0,3.0
Marathahalli,1314,2.0,55.0,2.0
Bisuvanahalli,945,2.0,33.0,2.0
Nehru Nagar,1374,3.0,72.0,3.0
Kanakpura Road,1603,3.0,113.0,3.0
Kengeri,1230,2.0,52.0,3.0
 Basavangudi,670,1.0,50.0,1.0
Sarjapur  Road,1864,3.0,105.0,4.0
Hosa Road,2500,3.0,100.0,3.0
Raja Rajeshwari Nagar,1625,2.0,54.0,3.0
Whitefield,1186,2.0,55.0,2.0
KR Puram,1500,7.0,382.0,8.0
Electronic City,770,1.0,39.9,2.0
Varthur,1085,2.0,45.0,2.0
Dairy Circle,3754,6.0,480.0,4.0
Dodsworth Layout,1893,3.0,115.0,3.0
Thurahalli,600,3.0,65.0,4.0
Kundalahalli,1496,2.0,78.0,3.0
Chandapura,1305,3.0,33.28,3.0
Electronics City Phase 1,1550,2.0,82.0,3.0
Marathahalli,1200,2.0,58.17,3.0
Badavala Nagar,1494,2.0,94.55,3.0
Electronic City Phase II,1286,2.0,69.0,2.0
"Banashankari 6th stage , 2nd block",600,4.0,100.0,3.0
Hebbal,1860,3.0,95.0,3.0
Raghuvanahalli,425,1.0,750.0,1.0
Haralur Road,1243,2.0,45.0,2.0
Brookefield,1200,2.0,75.0,2.0
Sarjapur,1044,2.0,32.0,2.0
7th Phase JP Nagar,1040,2.0,41.59,2.0
8th Phase JP Nagar,1125,2.0,36.94,2.0
Cunningham Road,3489,3.0,662.0,3.0
Subramanyapura,1278,2.0,59.0,3.0
Chelekare,2400,6.0,98.0,6.0
Belatur,1250,2.0,43.0,2.0
Vijayanagar,2400,6.0,125.0,5.0
KR Puram,4166,5.0,560.0,5.0
Lakshminarayana Pura,1210,2.0,75.0,2.0
8th Phase JP Nagar,1200,3.0,110.0,4.0
Sarjapur  Road,1157,2.0,57.84,3.0
Raja Rajeshwari Nagar,1185,2.0,51.15,2.0
Kalena Agrahara,1450,3.0,100.0,3.0
Old Madras Road,1859,3.0,121.0,3.0
Rajaji Nagar,1763,3.0,262.0,2.0
Attibele,900,1.0,25.0,2.0
Ramamurthy Nagar,1305,3.0,60.0,3.0
Srirampuram,1200,2.0,100.0,3.0
Thanisandra,763 - 805,1.0,35.285,1.0
Kasavanhalli,5000,,400.0,
Sarjapur  Road,1150,2.0,36.8,2.0
Whitefield,1806,3.0,85.0,3.0
Kudlu,1027,2.0,42.0,2.0
Uttarahalli,1002,2.0,40.08,2.0
Electronic City Phase II,1220,2.0,36.21,3.0
Whitefield,1109,2.0,35.22,2.0
Uttarahalli,1002,2.0,40.08,2.0
Narayanapura,1308,2.0,89.04,2.0
Hennur Road,1232,2.0,69.6,2.0
Haralur Road,1027,2.0,44.0,2.0
Kalyan nagar,1250,2.0,65.0,2.0
2nd Phase JP Nagar,900,6.0,170.0,6.0
